exp	status_simple	status_multi	sh_n_simple	sh_f1ofic_simple	sh_emofic_simple	mh_n_simple	mh_f1ofic_simple	mh_emofic_simple	sh_n_multi	sh_f1ofic_multi	sh_emofic_multi	mh_n_multi	mh_f1ofic_multi	mh_emofic_multi	d_sh_f1ofic	d_mh_f1ofic	d_sh_emofic	d_mh_emofic	disparo_simple	disparo_multi	delta_disparo	interv_simple	interv_multi	delta_interv	report_simple	report_multi
a-baseline	complete	complete	70	0.6495860382793347	0.3	32	0.4259458423520923	0.1875	70	0.6376132491636884	0.3	32	0.39604001322751325	0.15625	-0.011972789115646254	-0.029905829124579064	0.0	-0.03125	0.35294117647058826	0.3235294117647059	-0.02941176470588236	0.08823529411764706	0.08823529411764706	0.0	runs/locomo-fallback-sweep-20260915-192724-a-baseline-simple/benchmark/20260915-222828-938908-qwen-pilot/report.md	runs/locomo-fallback-sweep-20260915-192724-a-baseline-multi/benchmark/20260915-222953-613340-qwen-pilot/report.md
b-noverify	complete	complete	70	0.6499735266079995	0.2857142857142857	32	0.4610478913787738	0.15625	70	0.6100522602627877	0.2714285714285714	32	0.4407585470085471	0.125	-0.03992126634521176	-0.02028934437022667	-0.01428571428571429	-0.03125	0.6666666666666666	0.8431372549019608	0.17647058823529416	0.43137254901960786	0.5098039215686274	0.07843137254901955	runs/locomo-fallback-sweep-20260915-192724-b-noverify-simple/benchmark/20260915-223120-520347-qwen-pilot/report.md	runs/locomo-fallback-sweep-20260915-192724-b-noverify-multi/benchmark/20260915-224051-374511-qwen-pilot/report.md
c-noverify-plan8	complete	complete	70	0.6583975628891785	0.3	32	0.40957055097680095	0.125	70	0.6200542188626048	0.2857142857142857	32	0.4877079517704519	0.15625	-0.03834334402657369	0.07813740079365095	-0.01428571428571429	0.03125	0.6666666666666666	0.8627450980392157	0.1960784313725491	0.4411764705882353	0.5490196078431373	0.10784313725490202	runs/locomo-fallback-sweep-20260915-192724-c-noverify-plan8-simple/benchmark/20260915-225139-736520-qwen-pilot/report.md	runs/locomo-fallback-sweep-20260915-192724-c-noverify-plan8-multi/benchmark/20260915-230028-990736-qwen-pilot/report.md
d-noverify-plan8-pool40	complete	complete	70	0.6460197026541755	0.2857142857142857	32	0.4559247176434677	0.125	70	0.6060432298516157	0.2714285714285714	32	0.46082303113553125	0.1875	-0.03997647280255978	0.004898313492063544	-0.01428571428571429	0.0625	0.6666666666666666	0.8627450980392157	0.1960784313725491	0.43137254901960786	0.5196078431372549	0.08823529411764708	runs/locomo-fallback-sweep-20260915-192724-d-noverify-plan8-pool40-simple/benchmark/20260915-231149-721935-qwen-pilot/report.md	runs/locomo-fallback-sweep-20260915-192724-d-noverify-plan8-pool40-multi/benchmark/20260915-232117-089742-qwen-pilot/report.md
