exp	status_simple	status_multi	f1ofic_multi	emofic_multi	disparo_simple	disparo_multi	delta_disparo	interv_multi	report_multi
a-baseline	complete	complete	0.561825567301359	0.2549019607843137	0.35294117647058826	0.3235294117647059	-0.02941176470588236	0.08823529411764706	runs/locomo-fallback-sweep-20260915-192724-a-baseline-multi/benchmark/20260915-222953-613340-qwen-pilot/report.md
b-noverify	complete	complete	0.5569405070849868	0.22549019607843138	0.6666666666666666	0.8431372549019608	0.17647058823529416	0.5098039215686274	runs/locomo-fallback-sweep-20260915-192724-b-noverify-multi/benchmark/20260915-224051-374511-qwen-pilot/report.md
c-noverify-plan8	complete	complete	0.578533821343498	0.24509803921568626	0.6666666666666666	0.8627450980392157	0.1960784313725491	0.5490196078431373	runs/locomo-fallback-sweep-20260915-192724-c-noverify-plan8-multi/benchmark/20260915-230028-990736-qwen-pilot/report.md
d-noverify-plan8-pool40	complete	complete	0.5604839518230402	0.24509803921568626	0.6666666666666666	0.8627450980392157	0.1960784313725491	0.5196078431372549	runs/locomo-fallback-sweep-20260915-192724-d-noverify-plan8-pool40-multi/benchmark/20260915-232117-089742-qwen-pilot/report.md
